1	Центральный (ЦАО)	0100	02	45 286 000
2	Арбат	0101	03	45 286 552
3	Басманный	0102	03	45 286 555
4	Замоскворечье	0103	03	45 286 560
5	Красносельский	0104	03	45 286 565
6	Мещанский	0105	03	45 286 570
7	Пресненский	0106	03	45 286 575
8	Таганский	0107	03	45 286 580
9	Тверской	0108	03	45 286 585
10	Хамовники	0109	03	45 286 590
11	Якиманка	0110	03	45 286 596
12	Северный (САО)	0200	02	45 277 000
13	Аэропорт	0201	03	45 277 553
14	Беговой	0202	03	45 277 556
15	Бескудниковский	0203	03	45 277 559
16	Войковский	0205	03	45 277 565
17	Восточное Дегунино	0206	03	45 277 568
18	Головинский	0207	03	45 277 571
19	Дмитровский	0208	03	45 277 574
20	Западное Дегунино	0209	03	45 277 577
21	Коптево	0210	03	45 277 580
22	Левобережный	0211	03	45 277 583
23	Молжановский	0212	03	45 277 584
24	Савёловский	0213	03	45 277 586
25	Сокол	0214	03	45 277 589
26	Тимирязевский	0215	03	45 277 592
27	Ховрино	0216	03	45 277 595
28	Хорошёвский	0217	03	45 277 598
29	Северо-Восточный (СВАО)	0300	02	45 280 000
30	Алексеевский	0301	03	45 280 552
31	Алтуфьевский	0302	03	45 280 554
32	Бабушкинский	0303	03	45 280 556
33	Бибирево	0304	03	45 280 558
34	Бутырский	0305	03	45 280 561
35	Лианозово	0306	03	45 280 563
36	Лосиноостровский	0307	03	45 280 565
37	Марфино	0308	03	45 280 567
38	Марьина Роща	0309	03	45 280 569
39	Останкинский	0310	03	45 280 572
40	Отрадное	0311	03	45 280 574
41	Ростокино	0312	03	45 280 577
42	Свиблово	0313	03	45 280 580
43	Северное Медведково	0314	03	45 280 583
44	Северный	0315	03	45 280 585
45	Южное Медведково	0316	03	45 280 594
46	Ярославский	0317	03	45 280 597
47	Восточный (ВАО)	0400	02	45 263 000
48	Богородское	0403	03	45 263 552
49	Вешняки	0404	03	45 263 555
50	Восточное Измайлово	0405	03	45 263 558
51	Гольяново	0406	03	45 263 564
52	Ивановское	0407	03	45 263 567
53	Измайлово	0408	03	45 263 570
54	Косино-Ухтомский	0409	03	45 263 573
55	Метрогородок	0410	03	45 263 581
56	Новогиреево	0411	03	45 263 576
57	Новокосино	0412	03	45 263 579
58	Перово	0413	03	45 263 583
59	Восточный	0414	03	45 263 561
60	Преображенское	0415	03	45 263 594
61	Северное Измайлово	0416	03	45 263 585
62	Соколиная Гора	0417	03	45 263 588
63	Сокольники	0418	03	45 263 591
64	Юго-Восточный (ЮВАО)	0500	02	45 290 000
65	Выхино-Жулебино	0504	03	45 290 554
66	Капотня	0505	03	45 290 558
67	Кузьминки	0506	03	45 290 562
68	Лефортово	0507	03	45 290 564
69	Люблино	0508	03	45 290 568
70	Марьино	0509	03	45 290 572
71	Нижегородский	0510	03	45 290 578
72	Печатники	0511	03	45 290 582
73	Некрасовка	0512	03	45 290 574
74	Рязанский	0513	03	45 290 586
75	Текстильщики	0514	03	45 290 590
76	Южнопортовый	0515	03	45 290 594
77	Южный (ЮАО)	0600	02	45 296 000
78	Бирюлёво Восточное	0606	03	45 296 553
79	Бирюлёво Западное	0607	03	45 296 555
80	Братеево	0608	03	45 296 557
81	Даниловский	0609	03	45 296 559
82	Донской	0610	03	45 296 561
83	Зябликово	0611	03	45 296 565
84	Москворечье-Сабурово	0612	03	45 296 569
85	Нагатино-Садовники	0613	03	45 296 571
86	Нагатинский Затон	0614	03	45 296 573
87	Нагорный	0615	03	45 296 575
88	Орехово-Борисово Северное	0616	03	45 296 577
89	Орехово-Борисово Южное	0617	03	45 296 579
90	Царицыно	0618	03	45 296 590
91	Чертаново Северное	0619	03	45 296 593
92	Чертаново Центральное	0620	03	45 296 595
93	Чертаново Южное	0621	03	45 296 597
94	Юго-Западный (ЮЗАО)	0700	02	45 290 000
95	Академический	0701	03	45 293 554
96	Гагаринский	0702	03	45 293 558
97	Зюзино	0703	03	45 293 562
98	Коньково	0704	03	45 293 566
99	Котловка	0705	03	45 293 570
100	Ломоносовский	0706	03	45 293 574
101	Обручевский	0707	03	45 293 578
102	Северное Бутово	0708	03	45 293 582
103	Тёплый Стан	0709	03	45 293 586
104	Черёмушки	0710	03	45 293 590
105	Южное Бутово	0711	03	45 293 594
106	Ясенево	0712	03	45 293 598
107	Западный (ЗАО)	0800	02	45 268 000
108	Дорогомилово	0805	03	45 268 554
109	Крылатское	0806	03	45 268 560
110	Кунцево	0807	03	45 268 562
111	Можайский	0809	03	45 268 569
112	Ново-Переделкино	0811	03	45 268 577
113	Проспект Вернадского	0814	03	45 268 581
114	Раменки	0815	03	45 268 584
115	Солнцево	0816	03	45 268 588
116	Тропарёво-Никулино	0817	03	45 268 592
117	Филёвский Парк	0818	03	45 268 595
118	Фили-Давыдково	0819	03	45 268 597
119	Очаково-Матвеевское	0820	03	45 268 579
120	Северо-Западный (СЗАО)	0900	02	45 283 000
121	Куркино	0901	03	45 283 555
122	Митино	0902	03	45 283 559
123	Покровское-Стрешнево	0903	03	45 283 569
124	Северное Тушино	0904	03	45 283 573
125	Строгино	0905	03	45 283 573
126	Хорошёво-Мнёвники	0906	03	45 283 582
127	Щукино	0907	03	45 283 587
128	Южное Тушино	0908	03	45 283 593
129	Зеленоградский (ЗелАО)	1000	02	45 272 000
130	Крюково	1005	03	45 272 580
131	Матушкино	1009	03	45 272 562
132	Савёлки	1010	03	45 272 568
133	Силино	1011	03	45 272 580
134	Старое Крюково	1012	03	45 272 572
135	Новомосковский (НАО)	1100	02	45 297 000
136	Троицкий (ТАО)	1200	02	45 298 000
137	Внуково	1112	03	
138	Коммунарка	1113	03	
139	Филимонковский	1114	03	
140	Щербинка	1115	03	
141	Бекасово	1211	03	
142	Вороново	1212	03	
143	Краснопахорский	1213	03	
144	Троицк	1214	03	
