Поселение;Pos
Поселок;P
Станция;St 
Разъезд;Rzd
Вал;Val
Микрорайон;Mkr
Набережная;Nab
Остров;Ostv
Парк;Park
Платформа;Platf
Район;Rn
Сад;Sad
Сквер;Skver
Территория;Ter
Территория ведения гражданами садоводства или огородничества для собственных нужд;Ter_Sosn
Территория садоводческих некоммерческих объединений граждан;Ter_Sno
Территория огороднических некоммерческих объединений граждан;Ter_Ono
Территория дачных некоммерческих объединений граждан;Ter_Dno
Территория садоводческого некоммерческого товарищества;Ter_Snt
Территория огороднического некоммерческого товарищества;Ter_Ont
Территория дачных некоммерческих товариществ;Ter_Dnt
Территория садоводческих потребительских кооперативов;Ter_Spk
Территория огороднических потребительских кооперативов;Ter_Opk
Территория дачных потребительских кооперативов;Ter_Dpk
Территория садоводческих некоммерческих партнерств;Ter_Snp
Территория огороднических некоммерческих партнерств;Ter_Onp
Территория дачных некоммерческих партнерств;Ter_Dnp
Территория товарищества собственников жилья;Ter_Tszh
Территория товарищества собственников недвижимости;Ter_Tsn
Территория гаражно-строительного кооператива;Ter_Gsk
Территория потребительского кооператива;Ter_Pk
Территория фермерского хозяйства;Terfh
Аллея;Al
Бульвар;Br
Километр;Km
Магистраль;Mgstr
Мост;Most
Набережная;Nab
Переезд;Perd
Переулок;Per
Площадь;Pl
Проезд;Prd
Просек;Prk
Просека;Prka
Проспект;Prkt
Проулок;Proul
Разъезд;Rzd
Ряд;Ryad
Сквер;Sr
Спуск;Sk
Съезд;Szd
Тракт;Trakt
Тупик;Tup
Улица;Ul
Шоссе;Sh
